"cuestionario_hogar_id","personas_en_el_hogar","estado_entrevista"
"14607201",6,"1"
"14607301",5,"1"
"14607501",3,"1"
"14616401",7,"1"
"14616501",1,"1"
"14616601",5,"1"
"14616701",5,"1"
"14616801",4,"1"
"14703901",4,"1"
"14704301",4,"1"
"14704401",2,"1"
"14704501",6,"1"
"14704601",1,"1"
"14706301",4,"1"
"14706401",4,"1"
"14707101",2,"1"
"14707201",3,"1"
"14707301",4,"1"
"14713601",5,"1"
"14713701",3,"1"
"14713801",5,"1"
"14713901",4,"1"
"14714001",5,"1"
"14800101",4,"1"
"14800301",6,"1"
"14800401",3,"1"
"14800501",1,"1"
"14801701",3,"1"
"14801801",5,"1"
"14801901",5,"1"
"14802101",4,"1"
"14809701",5,"1"
"14809801",4,"1"
"14809901",1,"1"
"14810001",3,"1"
"14810101",4,"1"
"14904901",4,"1"
"14905101",4,"1"
"14905201",1,"1"
"14905301",7,"1"
"14905501",3,"1"
"14906001",4,"1"
"14906101",1,"1"
"14906501",5,"1"
"14906901",4,"1"
"14907001",4,"1"
"14907501",10,"1"
"14907601",2,"1"
"14910001",4,"1"
"14910101",2,"1"
"15000201",5,"1"
"15000801",3,"1"
"15001001",5,"1"
"15001601",2,"1"
"15004501",3,"1"
"15004901",4,"1"
"15006401",2,"1"
"15007001",3,"1"
"15007101",2,"1"
"15007201",4,"1"
"15008401",3,"1"
"15010101",3,"1"
"15010201",2,"1"
"15205701",3,"1"
"15205801",3,"1"
"15205901",3,"1"
"15206401",6,"1"
"15208001",6,"1"
"15208101",5,"1"
"15208201",1,"1"
"15208301",7,"1"
"15208401",2,"1"
"15202901",4,"1"
"15203001",5,"1"
"15203401",4,"1"
"15203601",5,"1"
"15300201",2,"1"
"15300401",4,"1"
"15301301",2,"1"
"15301701",2,"1"
"15302501",7,"1"
"15303201",4,"1"
"15304001",1,"1"
"15305901",3,"1"
"15306001",1,"1"
"15308301",3,"1"
"15313301",4,"1"
"15314701",5,"1"
"15315001",9,"1"
"15400101",3,"1"
"15400501",3,"1"
"15400701",5,"1"
"15401201",3,"1"
"15401301",3,"1"
"15403201",3,"1"
"15404701",2,"1"
"15404901",1,"1"
"15405801",4,"1"
"15405901",3,"1"
"15409701",4,"1"
"15410001",4,"1"
"15505801",2,"1"
"15505901",3,"1"
"15506001",4,"1"
"15506101",2,"1"
"15506201",1,"1"
"15502901",4,"1"
"15503201",3,"1"
"15503801",5,"1"
"15504001",2,"1"
"15508601",5,"1"
"15508701",1,"1"
"15508901",3,"1"
"15509001",3,"1"
"15509101",5,"1"
"15709801",3,"1"
"15710001",4,"1"
"15710101",5,"1"
"15710201",6,"1"
"15711001",4,"1"
"15711101",6,"1"
"15711201",4,"1"
"15711301",4,"1"
"15711401",2,"1"
"15708001",7,"1"
"15708201",3,"1"
"15708401",4,"1"
"15708901",2,"1"
"15709001",3,"1"
"16203901",3,"1"
"16204201",5,"1"
"16204501",3,"1"
"16210101",2,"1"
"16210301",6,"1"
"16210901",2,"1"
"16211001",3,"1"
"16211101",3,"1"
"16201801",3,"1"
"16201901",2,"1"
"16202101",4,"1"
"16202201",4,"1"
"16202301",6,"1"
"16300201",5,"1"
"16303301",4,"1"
"16303701",2,"1"
"16304701",3,"1"
"16305501",5,"1"
"16305701",5,"1"
"16306601",5,"1"
"16307501",6,"1"
"16308401",2,"1"
"16308801",3,"1"
"16309501",4,"1"
"16311301",5,"1"
"16312901",4,"1"
"16313501",3,"1"
"16405101",2,"1"
"16405501",1,"1"
"16405701",2,"1"
"16405801",1,"1"
"16405901",4,"1"
"16406701",2,"1"
"16406801",6,"1"
"16406901",6,"1"
"16407001",5,"1"
"16407101",4,"1"
"16401701",6,"1"
"16402201",3,"1"
"16402501",4,"1"
"16504101",3,"1"
"16504201",6,"1"
"16504301",1,"1"
"16504401",3,"1"
"16504501",2,"1"
"16508601",4,"1"
"16508701",9,"1"
"16508801",4,"1"
"16508901",2,"1"
"16510101",8,"1"
"16510201",2,"1"
"16510301",2,"1"
"16510401",9,"1"
"16510701",5,"1"
"16601301",8,"1"
"16601401",3,"1"
"16601501",4,"1"
"16601601",5,"1"
"16601701",3,"1"
"16602901",2,"1"
"16603401",1,"1"
